var_name	genotype	strand	position	lower	median	upper	mean	K_gt	K_lt
Beta	3	1	14	-1.5431931	-1.3456955	-1.1347849	-1.3425438	0	500
Beta	1	1	15	-0.8579447	-0.6917341	-0.50981814	-0.68527436	0	500
Beta	2	1	15	-1.344159	-1.1618448	-1.0108387	-1.1637188	0	500
Beta	3	1	15	-1.5928363	-1.3854151	-1.1737435	-1.3842567	0	500
Beta	1	1	16	-0.8653587	-0.69823337	-0.5103231	-0.69221896	0	500
Beta	2	1	16	-1.356647	-1.1667054	-1.0036381	-1.1701916	0	500
Beta	3	1	16	-1.6421187	-1.4203874	-1.1923672	-1.424231	0	500
Beta	1	1	17	-0.878545	-0.7012385	-0.51139355	-0.69853365	0	500
Beta	2	1	17	-1.3787389	-1.1748407	-1.0053608	-1.1760776	0	500
Beta	3	1	17	-1.6955706	-1.4556504	-1.2194077	-1.460576	0	500
Beta	1	1	18	-0.89370054	-0.70839286	-0.5051842	-0.70400596	0	500
Beta	2	1	18	-1.4019302	-1.1775045	-1.0054747	-1.1811781	0	500
Beta	3	1	18	-1.7475941	-1.4867694	-1.2321799	-1.4920763	0	500
Beta	1	1	19	-0.9556455	-0.7761086	-0.5904085	-0.77358216	0	500
Beta	2	1	19	-1.3850493	-1.1764969	-1.0118774	-1.182478	0	500
Beta	3	1	19	-1.7201686	-1.4768076	-1.241628	-1.4829979	0	500
Beta	1	1	20	-1.027284	-0.852332	-0.67378044	-0.8511248	0	500
Beta	2	1	20	-1.3823485	-1.179986	-1.020473	-1.185114	0	500
Beta	3	1	20	-1.7135899	-1.4745281	-1.2506002	-1.4769874	0	500
Beta	1	1	21	-1.1088121	-0.9359398	-0.7578145	-0.93492717	0	500
Beta	2	1	21	-1.3712485	-1.1828218	-1.0249757	-1.1879607	0	500
Beta	3	1	21	-1.7103581	-1.467531	-1.245229	-1.4704936	0	500
Beta	1	1	22	-1.199826	-1.0192193	-0.83693767	-1.0207645	0	500
Beta	2	1	22	-1.3761867	-1.1859436	-1.0218911	-1.1908778	0	500
Beta	3	1	22	-1.7149893	-1.4597405	-1.2442279	-1.4638401	0	500
Beta	1	1	23	-1.295706	-1.1014004	-0.91799694	-1.1039854	0	500
Beta	2	1	23	-1.3863535	-1.1886249	-1.0125338	-1.1937052	0	500
Beta	3	1	23	-1.7203994	-1.4498652	-1.230805	-1.4573901	0	500
Beta	1	1	24	-1.3808568	-1.1801245	-0.9792696	-1.1804843	0	500
Beta	2	1	24	-1.3953271	-1.194338	-1.0053853	-1.1963055	0	500
Beta	3	1	24	-1.7212362	-1.4413676	-1.2025988	-1.4514626	0	500
Beta	1	1	25	-1.4577423	-1.2441608	-1.0346893	-1.2474359	0	500
Beta	2	1	25	-1.4078237	-1.1969571	-1.0004368	-1.1985793	0	500
Beta	3	1	25	-1.7358651	-1.4325118	-1.1792864	-1.4462746	0	500
Beta	1	1	26	-1.4375836	-1.2418741	-1.0410343	-1.2433066	0	500
Beta	2	1	26	-1.4555638	-1.2518814	-1.0611498	-1.2550552	0	500
Beta	3	1	26	-1.7368174	-1.4521303	-1.2090838	-1.4638094	0	500
Beta	1	1	27	-1.4207098	-1.240155	-1.0537906	-1.2361796	0	500
Beta	2	1	27	-1.5137767	-1.3147993	-1.1274863	-1.3182869	0	500
Beta	3	1	27	-1.7442182	-1.4659008	-1.2381685	-1.4798135	0	500
Beta	1	1	28	-1.4095924	-1.2328804	-1.0462006	-1.2284536	0	500
Beta	2	1	28	-1.5778756	-1.3810941	-1.1968324	-1.3868496	0	500
Beta	3	1	28	-1.7586741	-1.4924896	-1.2812878	-1.4971635	0	500
Beta	1	1	29	-1.398133	-1.2225347	-1.0441937	-1.2205129	0	500
Beta	2	1	29	-1.6524051	-1.4541932	-1.2654095	-1.4573241	0	500
Beta	3	1	29	-1.7701868	-1.5089076	-1.3034519	-1.514999	0	500
Beta	1	1	30	-1.4017457	-1.212218	-1.0272075	-1.2127857	0	500
Beta	2	1	30	-1.7249149	-1.5233562	-1.3336676	-1.5258868	0	500
Beta	3	1	30	-1.7912068	-1.52156	-1.3103176	-1.5323498	0	500
Beta	1	1	31	-1.4102185	-1.2048047	-1.0129898	-1.2096672	0	500
Beta	2	1	31	-1.8098899	-1.590528	-1.3916582	-1.5947382	0	500
Beta	3	1	31	-1.8111305	-1.5494761	-1.3193995	-1.5541761	0	500
Beta	1	1	32	-1.4183005	-1.2022259	-0.9927877	-1.2025107	0	500
Beta	2	1	32	-1.8694875	-1.6445497	-1.4367064	-1.6493002	0	500
Beta	3	1	32	-1.8421917	-1.5609527	-1.3116652	-1.5670282	0	500
Beta	1	1	33	-1.3840077	-1.1763043	-0.9759125	-1.1760529	0	500
Beta	2	1	33	-1.836493	-1.6349413	-1.4386078	-1.6379436	0	500
Beta	3	1	33	-1.7768953	-1.5182419	-1.2852682	-1.5242658	0	500
Beta	1	1	34	-1.3577218	-1.1484199	-0.95973986	-1.1495316	0	500
Beta	2	1	34	-1.8155308	-1.6262491	-1.4439646	-1.6296581	0	500
Beta	3	1	34	-1.7168359	-1.476043	-1.2602085	-1.4858059	0	500
Beta	1	1	35	-1.3254212	-1.1202022	-0.9379537	-1.1207739	0	500
Beta	2	1	35	-1.8010316	-1.6173189	-1.4497787	-1.6206738	0	500
Beta	3	1	35	-1.6652739	-1.436485	-1.2315739	-1.4441063	0	500
Beta	1	1	36	-1.2906783	-1.0832995	-0.903407	-1.0912162	0	500
Beta	2	1	36	-1.8004545	-1.6069098	-1.4420515	-1.6114384	0	500
Beta	3	1	36	-1.606816	-1.4022238	-1.193292	-1.4012454	0	500
Beta	1	1	37	-1.2707258	-1.0556965	-0.86850536	-1.0624601	0	500
Beta	2	1	37	-1.789389	-1.5985348	-1.432651	-1.6024531	0	500
Beta	3	1	37	-1.5633188	-1.3610053	-1.1505319	-1.3595434	0	500
Beta	1	1	38	-1.259607	-1.0311916	-0.8370647	-1.0383859	0	500
Beta	2	1	38	-1.7868787	-1.5944449	-1.4260608	-1.5964074	0	500
Beta	3	1	38	-1.5320699	-1.3245685	-1.1092147	-1.3215758	0	500
Beta	1	1	39	-1.2453761	-1.0098028	-0.80319154	-1.0144575	0	500
Beta	2	1	39	-1.7829546	-1.588876	-1.4153214	-1.5886116	0	500
Beta	3	1	39	-1.5050194	-1.2916658	-1.0758654	-1.287543	0	500
Beta	1	1	40	-1.2364026	-1.0163584	-0.8142903	-1.0219288	0	500
Beta	2	1	40	-1.7217268	-1.538324	-1.3682332	-1.5370954	0	500
Beta	3	1	40	-1.4601371	-1.2607474	-1.0582327	-1.2580243	0	500
Beta	1	1	41	-1.2457844	-1.023323	-0.8291053	-1.0295877	0	500
Beta	2	1	41	-1.66311	-1.4833717	-1.3143038	-1.4847968	0	500
Beta	3	1	41	-1.4331487	-1.2311101	-1.0300914	-1.2281681	0	500
Beta	1	1	42	-1.2549225	-1.0348517	-0.83259225	-1.037893	0	500
Beta	2	1	42	-1.6024014	-1.4327974	-1.2516592	-1.4280885	0	500
Beta	3	1	42	-1.4036413	-1.1979259	-0.9927531	-1.1957946	0	500
Beta	1	1	43	-1.2589939	-1.0431868	-0.83832127	-1.0464293	0	500
Beta	2	1	43	-1.5438279	-1.374131	-1.1847787	-1.3698021	0	500
Beta	3	1	43	-1.3703756	-1.1647238	-0.9542403	-1.1625198	0	500
Beta	1	1	44	-1.277958	-1.0507364	-0.8396629	-1.0547333	0	500
Beta	2	1	44	-1.4852113	-1.3171726	-1.1172837	-1.3130946	0	500
Beta	3	1	44	-1.3426629	-1.1345454	-0.9127253	-1.1301455	0	500
Beta	1	1	45	-1.2971574	-1.0604134	-0.8360634	-1.0667418	0	500
Beta	2	1	45	-1.4394302	-1.2690227	-1.0494971	-1.2612257	0	500
Beta	3	1	45	-1.3244936	-1.10056	-0.86364055	-1.0966175	0	500
Beta	1	1	46	-1.3128351	-1.0707972	-0.8303936	-1.0725539	0	500
Beta	2	1	46	-1.4038332	-1.2238642	-0.997071	-1.2149955	0	500
Beta	3	1	46	-1.3056173	-1.0774724	-0.8247469	-1.0710764	0	500
Beta	1	1	47	-1.3331065	-1.09794	-0.87415206	-1.1044643	0	500
Beta	2	1	47	-1.4080805	-1.2317023	-1.0105747	-1.222096	0	500
Beta	3	1	47	-1.3391759	-1.116105	-0.88076824	-1.1133523	0	500
Beta	1	1	48	-1.3482231	-1.1320136	-0.9138492	-1.1364312	0	500
Beta	2	1	48	-1.4047089	-1.2306211	-1.0269507	-1.2230576	0	500
Beta	3	1	48	-1.3697177	-1.1618918	-0.94014806	-1.1570182	0	500
Beta	1	1	49	-1.3804255	-1.1753983	-0.95221335	-1.1710914	0	500
Beta	2	1	49	-1.4079925	-1.2249224	-1.0270056	-1.2241002	0	500
Beta	3	1	49	-1.4087774	-1.2059689	-0.9990721	-1.204365	0	500
Beta	1	1	50	-1.4199611	-1.2127202	-0.9921875	-1.206717	0	500
Beta	2	1	50	-1.4069437	-1.2247522	-1.0103915	-1.2251728	0	500
Beta	3	1	50	-1.4559102	-1.2523806	-1.0485969	-1.2530301	0	500
Beta	1	1	51	-1.4524188	-1.2495903	-1.021721	-1.2413783	0	500
Beta	2	1	51	-1.4168621	-1.2283156	-1.01447	-1.2262163	0	500
Beta	3	1	51	-1.5023649	-1.3047806	-1.095336	-1.3003783	0	500
Beta	1	1	52	-1.4881688	-1.2767497	-1.053394	-1.2710605	0	500
Beta	2	1	52	-1.4408671	-1.2323408	-1.014268	-1.2291301	0	500
Beta	3	1	52	-1.5437703	-1.3498144	-1.1342872	-1.3439978	0	500
Beta	1	1	53	-1.5185664	-1.3049783	-1.0705273	-1.2997583	0	500
Beta	2	1	53	-1.4576702	-1.2321849	-0.99855846	-1.2295542	0	500
Beta	3	1	53	-1.5951157	-1.3869948	-1.1591059	-1.3825277	0	500
Beta	1	1	54	-1.460094	-1.2535981	-1.048167	-1.2515117	0	500
Beta	2	1	54	-1.4086344	-1.1981531	-0.9854516	-1.1952745	0	500
Beta	3	1	54	-1.4755019	-1.2828214	-1.0709313	-1.2791697	0	500
Beta	1	1	55	-1.4023371	-1.2031146	-0.9985599	-1.2010463	0	500
Beta	2	1	55	-1.3588586	-1.1655021	-0.95187867	-1.1592339	0	500
Beta	3	1	55	-1.3545046	-1.1633244	-0.9574907	-1.1571391	0	500
Beta	1	1	56	-1.340809	-1.1516666	-0.9452596	-1.146326	0	500
Beta	2	1	56	-1.3206604	-1.1243384	-0.92311704	-1.1201537	0	500
Beta	3	1	56	-1.2188234	-1.0306635	-0.8284748	-1.0248201	0	500
Beta	1	1	57	-1.2835023	-1.100169	-0.89731306	-1.0900816	0	500
Beta	2	1	57	-1.2725898	-1.0851086	-0.87923896	-1.0799867	0	500
Beta	3	1	57	-1.0866783	-0.89434254	-0.6928961	-0.88881785	0	500
Beta	1	1	58	-1.2341651	-1.0412905	-0.8342037	-1.0353619	0	500
Beta	2	1	58	-1.2314167	-1.0444297	-0.83759266	-1.0409079	0	500
Beta	3	1	58	-0.9581125	-0.75687534	-0.5597671	-0.75649965	0	500
Beta	1	1	59	-1.1907053	-0.99007255	-0.76049215	-0.98299235	0	500
Beta	2	1	59	-1.2029177	-1.0042248	-0.7994738	-0.99872684	0	500
Beta	3	1	59	-0.8422454	-0.6269065	-0.42477268	-0.62702936	0	500
Beta	1	1	60	-1.1654826	-0.94435143	-0.6959907	-0.9388861	0	500
Beta	2	1	60	-1.1922894	-0.97111267	-0.74847454	-0.9682668	0	500
Beta	3	1	60	-0.74813116	-0.52142394	-0.3143546	-0.520992	0	500
Beta	1	1	61	-1.18856	-0.9719372	-0.7398991	-0.96572965	0	500
Beta	2	1	61	-1.1817231	-0.97150147	-0.7655979	-0.9717494	0	500
Beta	3	1	61	-0.7751889	-0.56533444	-0.36099836	-0.5645289	0	500
Beta	1	1	62	-1.2120903	-0.99754214	-0.7872354	-0.9971921	0	500
Beta	2	1	62	-1.1671995	-0.9684746	-0.7698336	-0.9692347	0	500
Beta	3	1	62	-0.823662	-0.61111474	-0.4089117	-0.6113437	0	500
Beta	1	1	63	-1.2508022	-1.0270691	-0.8233388	-1.0313063	0	500
Beta	2	1	63	-1.15762	-0.97043097	-0.7709142	-0.96650654	0	500
Beta	3	1	63	-0.8875979	-0.6614208	-0.45743963	-0.6621053	0	500
Beta	1	1	64	-1.2896799	-1.0688899	-0.8533123	-1.0663711	0	500
Beta	2	1	64	-1.1512692	-0.9657206	-0.77219385	-0.9637033	0	500
Beta	3	1	64	-0.9512439	-0.71612644	-0.5053212	-0.71428055	0	500
Beta	1	1	65	-1.3354609	-1.112413	-0.8781252	-1.100486	0	500
Beta	2	1	65	-1.1478616	-0.96491635	-0.7773328	-0.96097594	0	500
Beta	3	1	65	-1.0046207	-0.76991653	-0.5396141	-0.7650416	0	500
Beta	1	1	66	-1.3878437	-1.1365442	-0.8891647	-1.133711	0	500
Beta	2	1	66	-1.1355568	-0.9541805	-0.7654983	-0.9532045	0	500
Beta	3	1	66	-1.060564	-0.8143227	-0.5734352	-0.809097	0	500
Beta	1	1	67	-1.4235432	-1.1663318	-0.9025544	-1.1610831	0	500
Beta	2	1	67	-1.1363907	-0.9548867	-0.757588	-0.95212716	0	500
Beta	3	1	67	-1.1183382	-0.85598344	-0.60235983	-0.8509961	0	500
Beta	1	1	68	-1.4450034	-1.1918205	-0.9544206	-1.191059	0	500
Beta	2	1	68	-1.2296277	-1.0526805	-0.8665995	-1.0512816	0	500
Beta	3	1	68	-1.1997452	-0.9499779	-0.70990837	-0.94571525	0	500
Beta	1	1	69	-1.4643643	-1.2184634	-0.99977326	-1.2221148	0	500
Beta	2	1	69	-1.334757	-1.1594162	-0.9846264	-1.1584	0	500
Beta	3	1	69	-1.2643981	-1.0499315	-0.8214619	-1.0451535	0	500
Beta	1	1	70	-1.4961758	-1.2490976	-1.0284151	-1.2557899	0	500
Beta	2	1	70	-1.448437	-1.2749212	-1.099954	-1.2745482	0	500
Beta	3	1	70	-1.3796176	-1.1550367	-0.93392426	-1.1529735	0	500
Beta	1	1	71	-1.523082	-1.2847438	-1.066961	-1.2904015	0	500
Beta	2	1	71	-1.5697964	-1.3924019	-1.2203252	-1.3939306	0	500
Beta	3	1	71	-1.5038075	-1.2624036	-1.0467589	-1.2637956	0	500
Beta	1	1	72	-1.5584857	-1.3182971	-1.0876592	-1.3240767	0	500
Beta	2	1	72	-1.6861786	-1.5092106	-1.3353672	-1.5100781	0	500
Beta	3	1	72	-1.6115336	-1.3708365	-1.1447179	-1.3716159	0	500
Beta	1	1	73	-1.6027187	-1.3548645	-1.1179833	-1.3576493	0	500
Beta	2	1	73	-1.7988099	-1.6213728	-1.439889	-1.621274	0	500
Beta	3	1	73	-1.7150327	-1.4728618	-1.2464293	-1.4757053	0	500
Beta	1	1	74	-1.6332895	-1.379725	-1.1299578	-1.3845	0	500
Beta	2	1	74	-1.9021068	-1.7162012	-1.5187252	-1.7148867	0	500
Beta	3	1	74	-1.8145784	-1.5591927	-1.3245643	-1.5624164	0	500
Beta	1	1	75	-1.5699407	-1.3240681	-1.092817	-1.3231852	0	500
Beta	2	1	75	-1.8337519	-1.6599362	-1.4741746	-1.6586105	0	500
Beta	3	1	75	-1.833247	-1.5803642	-1.3578271	-1.585327	0	500
Beta	1	1	76	-1.4983975	-1.2525219	-1.040274	-1.253047	0	500
Beta	2	1	76	-1.7639543	-1.5998118	-1.4252197	-1.5985363	0	500
Beta	3	1	76	-1.856561	-1.6113172	-1.3977998	-1.616457	0	500
Beta	1	1	77	-1.410445	-1.1745832	-0.95871276	-1.1769979	0	500
Beta	2	1	77	-1.6987445	-1.5356336	-1.3707983	-1.5334003	0	500
Beta	3	1	77	-1.8830345	-1.648106	-1.4272077	-1.6502115	0	500
Beta	1	1	78	-1.3289587	-1.0968198	-0.86951953	-1.0988305	0	500
Beta	2	1	78	-1.6323229	-1.4685626	-1.3087076	-1.4664495	0	500
Beta	3	1	78	-1.9198809	-1.6855943	-1.4627485	-1.6849064	0	500
Beta	1	1	79	-1.2497662	-1.0255737	-0.7808457	-1.0227805	0	500
Beta	2	1	79	-1.5665071	-1.4011945	-1.2473816	-1.4013114	0	500
Beta	3	1	79	-1.9665664	-1.7140515	-1.48801	-1.7186599	0	500
Beta	1	1	80	-1.1800293	-0.9527183	-0.6880458	-0.9480279	0	500
Beta	2	1	80	-1.5062026	-1.3439	-1.1819943	-1.3409065	0	500
Beta	3	1	80	-2.0122855	-1.7475077	-1.5008357	-1.7472525	0	500
Beta	1	1	81	-1.1460913	-0.89169157	-0.61423033	-0.8871565	0	500
Beta	2	1	81	-1.4590119	-1.28933	-1.1239605	-1.2879834	0	500
Beta	3	1	81	-2.0527675	-1.7701364	-1.5122185	-1.7752662	0	500
Beta	1	1	82	-1.1421471	-0.90691924	-0.6416559	-0.9007807	0	500
Beta	2	1	82	-1.5064045	-1.3476987	-1.1881734	-1.3460639	0	500
Beta	3	1	82	-1.9954348	-1.732316	-1.4817634	-1.7338847	0	500
Beta	1	1	83	-1.1508768	-0.92057216	-0.6692258	-0.91503984	0	500
Beta	2	1	83	-1.5629436	-1.4128182	-1.2654715	-1.414214	0	500
Beta	3	1	83	-1.9372076	-1.6867414	-1.4441378	-1.686695	0	500
Beta	1	1	84	-1.1683911	-0.9352256	-0.6855687	-0.9305031	0	500
Beta	2	1	84	-1.6354969	-1.4885077	-1.3450592	-1.4881114	0	500
Beta	3	1	84	-1.8794276	-1.6355906	-1.3932669	-1.6355281	0	500
Beta	1	1	85	-1.1884532	-0.9447813	-0.7077386	-0.94639546	0	500
Beta	2	1	85	-1.708122	-1.5633621	-1.4156243	-1.5640651	0	500
Beta	3	1	85	-1.8219651	-1.5848365	-1.3411019	-1.5829345	0	500
Beta	1	1	86	-1.1925606	-0.9610614	-0.7333738	-0.9618589	0	500
Beta	2	1	86	-1.7850177	-1.6386924	-1.48889	-1.6379613	0	500
Beta	3	1	86	-1.7782658	-1.5331304	-1.2741479	-1.5317664	0	500
Beta	1	1	87	-1.2185493	-0.97963834	-0.74263597	-0.97874963	0	500
Beta	2	1	87	-1.8668905	-1.7104664	-1.5493535	-1.7117192	0	500
Beta	3	1	87	-1.7610257	-1.4939684	-1.2252347	-1.4956106	0	500
Beta	1	1	88	-1.2461033	-0.9934456	-0.7396698	-0.99075806	0	500
Beta	2	1	88	-1.9320139	-1.7694366	-1.6047817	-1.7706224	0	500
Beta	3	1	88	-1.7331384	-1.4515388	-1.1640471	-1.4515834	0	500
Beta	1	1	89	-1.2899973	-1.0495952	-0.8151068	-1.0463368	0	500
Beta	2	1	89	-1.923199	-1.7671139	-1.6116635	-1.7679713	0	500
Beta	3	1	89	-1.7605063	-1.4982171	-1.2309477	-1.4932786	0	500
Beta	1	1	90	-1.3445975	-1.1048584	-0.8893782	-1.1061058	0	500
Beta	2	1	90	-1.9156393	-1.7611339	-1.6035123	-1.7614878	0	500
Beta	3	1	90	-1.8051866	-1.5456457	-1.2910231	-1.5398896	0	500
Beta	1	1	91	-1.3978446	-1.1676185	-0.96017414	-1.1709129	0	500
Beta	2	1	91	-1.9125953	-1.7571665	-1.595361	-1.7544582	0	500
Beta	3	1	91	-1.8407058	-1.5951879	-1.34776	-1.5904288	0	500
Beta	1	1	92	-1.4657927	-1.2389085	-1.024866	-1.2375247	0	500
Beta	2	1	92	-1.9061031	-1.7472552	-1.587455	-1.7472343	0	500
Beta	3	1	92	-1.8943739	-1.6399908	-1.4054259	-1.6423761	0	500
Beta	1	1	93	-1.5321277	-1.3043528	-1.079169	-1.3023314	0	500
Beta	2	1	93	-1.9047613	-1.7403159	-1.5804148	-1.740203	0	500
Beta	3	1	93	-1.9421271	-1.6949431	-1.4489995	-1.6929154	0	500
Beta	1	1	94	-1.5995305	-1.3617224	-1.1291108	-1.3633635	0	500
Beta	2	1	94	-1.9151487	-1.741845	-1.575423	-1.7418509	0	500
Beta	3	1	94	-2.000917	-1.7535381	-1.4954687	-1.7466694	0	500
Beta	1	1	95	-1.6538624	-1.4163947	-1.1751126	-1.4158165	0	500
Beta	2	1	95	-1.9212658	-1.7376035	-1.5654252	-1.734366	0	500
Beta	3	1	95	-2.0553644	-1.794085	-1.5319114	-1.7862365	0	500
Beta	1	1	96	-1.6307503	-1.4119022	-1.1789762	-1.4122267	0	500
Beta	2	1	96	-1.8569217	-1.6819155	-1.5147288	-1.6800146	0	500
Beta	3	1	96	-1.9781802	-1.7272811	-1.4701064	-1.7191398	0	500
Beta	1	1	97	-1.619353	-1.408426	-1.1874895	-1.4082855	0	500
Beta	2	1	97	-1.7936306	-1.6188337	-1.4499229	-1.6178007	0	500
Beta	3	1	97	-1.8847512	-1.6452999	-1.3946158	-1.6425039	0	500
Beta	1	1	98	-1.6137553	-1.4115717	-1.1866239	-1.4040122	0	500
Beta	2	1	98	-1.7231262	-1.5481272	-1.3837595	-1.5503422	0	500
Beta	3	1	98	-1.7981895	-1.5599645	-1.3254155	-1.5594074	0	500
Beta	1	1	99	-1.6039451	-1.4090803	-1.188091	-1.3996209	0	500
Beta	2	1	99	-1.6664426	-1.4819436	-1.3077006	-1.4810057	0	500
Beta	3	1	99	-1.7256653	-1.4738572	-1.2395073	-1.4739978	0	500
Beta	1	1	100	-1.6059937	-1.4027822	-1.1651638	-1.3953462	0	500
Beta	2	1	100	-1.618069	-1.4121561	-1.2359294	-1.4135463	0	500
Beta	3	1	100	-1.6517559	-1.3916763	-1.1497197	-1.3909023	0	500
Beta	1	1	101	-1.613135	-1.3931775	-1.1529572	-1.3885007	0	500
Beta	2	1	101	-1.5694069	-1.3403603	-1.1513846	-1.3441733	0	500
Beta	3	1	101	-1.5710083	-1.3104814	-1.0612234	-1.3107537	0	500
Beta	1	1	102	-1.6242582	-1.3902082	-1.1326181	-1.3856559	0	500
Beta	2	1	102	-1.5293144	-1.2881138	-1.0794562	-1.2908436	0	500
Beta	3	1	102	-1.5268475	-1.243267	-0.98345345	-1.2439106	0	500
Beta	1	1	103	-1.5854497	-1.3604679	-1.1130681	-1.3582387	0	500
Beta	2	1	103	-1.5084387	-1.2827607	-1.0848778	-1.2843847	0	500
Beta	3	1	103	-1.5517194	-1.2814833	-1.0303065	-1.2802922	0	500
Beta	1	1	104	-1.5732012	-1.341487	-1.1137966	-1.3405801	0	500
Beta	2	1	104	-1.4918766	-1.2856295	-1.1019232	-1.2846545	0	500
Beta	3	1	104	-1.5799241	-1.3286197	-1.0968868	-1.3270427	0	500
Beta	1	1	105	-1.5621214	-1.3175485	-1.0926367	-1.321432	0	500
Beta	2	1	105	-1.4726455	-1.2850049	-1.1056743	-1.2849442	0	500
Beta	3	1	105	-1.6169149	-1.375392	-1.151738	-1.3777328	0	500
Beta	1	1	106	-1.5423564	-1.2986469	-1.0765433	-1.3017509	0	500
Beta	2	1	106	-1.458911	-1.2863474	-1.1235492	-1.2852442	0	500
Beta	3	1	106	-1.6694002	-1.425325	-1.2050471	-1.429836	0	500
Beta	1	1	107	-1.5274822	-1.2875109	-1.046352	-1.282603	0	500
Beta	2	1	107	-1.4558812	-1.2886224	-1.1179805	-1.2855364	0	500
Beta	3	1	107	-1.7231693	-1.478712	-1.2571458	-1.480528	0	500
Beta	1	1	108	-1.5335847	-1.2664223	-1.0240408	-1.2697887	0	500
Beta	2	1	108	-1.4615366	-1.2948757	-1.1151773	-1.28956	0	500
Beta	3	1	108	-1.7669696	-1.5211344	-1.2816311	-1.5233773	0	500
Beta	1	1	109	-1.5297184	-1.251341	-0.9850317	-1.2531579	0	500
Beta	2	1	109	-1.4629793	-1.291784	-1.1051433	-1.2889813	0	500
Beta	3	1	109	-1.8208109	-1.5617607	-1.3078651	-1.5654677	0	500
Beta	1	1	110	-1.5346525	-1.2702332	-1.0088363	-1.2680568	0	500
Beta	2	1	110	-1.518552	-1.3519849	-1.1743653	-1.3502295	0	500
Beta	3	1	110	-1.8184016	-1.5678704	-1.3165747	-1.5677239	0	500
Beta	1	1	111	-1.5441021	-1.2791432	-1.0223053	-1.2816458	0	500
Beta	2	1	111	-1.5854787	-1.42773	-1.2581239	-1.4248047	0	500
Beta	3	1	111	-1.8113613	-1.5676469	-1.3290423	-1.5683087	0	500
Beta	1	1	112	-1.564372	-1.2958958	-1.0404788	-1.2963802	0	500
Beta	2	1	112	-1.6637735	-1.5039014	-1.3425835	-1.5056688	0	500
